barcode_id,sampleid,roost_site,latitude_s,longitude_e,researchers_present,sampling_session,processing_date,processing_time_start,processing_time_end,bat_species,recap,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,bat_weight_g,bat_forearm_mm,bat_flies,meglastreblidae,fleas,mites,ticks,t_star,mass_forearm_residual
221,ANGB21,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,yes,female,L,no,NA,NA,NA,300,128.1,0,NA,1,NA,NA,NA,-6.692479079
222,ANGB23,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,female,L,no,NA,NA,NA,310,124,NA,NA,NA,NA,NA,NA,19.6912584
223,ANGB25,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,female,L,no,NA,NA,NA,350,123,NA,NA,NA,NA,NA,NA,63.63155534
225,ANGB29,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,female,L,no,NA,NA,NA,320,126,NA,NA,NA,NA,NA,NA,21.7449777
314,ANGB27,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,female,L,no,NA,NA,NA,330,130,NA,NA,NA,NA,NA,NA,15.59118637
,KEL21,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,female,J,no,NA,NA,NA,50,65.6,NA,NA,NA,NA,NA,NA,NA
,KEL23,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,male,J,no,NA,NA,NA,11,91,NA,NA,NA,NA,NA,NA,NA
,KEL25,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,female,J,no,NA,NA,NA,70,77,NA,NA,NA,NA,NA,NA,NA
,KEL27,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,male,J,no,NA,NA,NA,90,75,NA,NA,NA,NA,NA,NA,NA
209,KEL2,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,yes,female,NL,no,NA,NA,NA,330,123,NA,NA,NA,NA,NA,NA,43.63155534
224,KEL1,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,350,133.3,NA,NA,NA,NA,NA,NA,17.25412579
226,KEL3,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,360,131.2,NA,NA,NA,NA,NA,NA,33.42602906
227,KEL4,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,300,127,NA,NA,NA,2,NA,NA,-2.260896836
229,KEL6,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,310,135,NA,NA,NA,NA,NA,NA,-25.08652354
230,KEL7,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,yes,male,A,no,NA,NA,NA,360,121,NA,NA,NA,NA,NA,NA,63.14818778
231,KEL8,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,260,121.8,NA,NA,NA,NA,NA,NA,-21.66909286
232,KEL9,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,yes,female,NL,no,NA,NA,NA,310,123,NA,NA,NA,NA,NA,NA,23.63155534
233,KEL10,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,390,132,NA,NA,NA,NA,NA,NA,61.07689803
234,KEL11,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,300,130,NA,NA,NA,NA,NA,NA,-14.40881363
235,KEL12,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,260,127,NA,NA,NA,NA,NA,NA,-54.28339061
236,KEL13,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,300,120,NA,NA,NA,NA,NA,NA,6.03863513
237,KEL14,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,310,125,NA,NA,NA,NA,NA,NA,15.72904755
238,KEL15,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,320,124,NA,NA,NA,NA,NA,NA,14.4512782
239,KEL16,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,280,124.5,NA,NA,NA,NA,NA,NA,-27.00189799
240,KEL17,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,300,128,NA,NA,NA,NA,NA,NA,-6.288522287
241,KEL18,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,300,125,NA,NA,NA,NA,NA,NA,-8.456119505
242,KEL19,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,330,124,NA,NA,NA,NA,NA,NA,39.6912584
243,KEL22,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,NA,female,L,no,NA,NA,NA,310,126,NA,NA,NA,NA,NA,NA,11.7449777
244,KEL20,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,yes,female,L,no,NA,NA,NA,300,126,NA,NA,NA,NA,NA,NA,1.744977698
245,KEL24,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,yes,female,L,no,NA,NA,NA,280,127,NA,NA,NA,NA,NA,NA,-22.26089684
246,KEL26,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,yes,female,L,no,NA,NA,NA,310,132,NA,NA,NA,NA,NA,NA,-12.61547711
9.56E+14,KEL5,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",5,11/26/13,NA,NA,Eidolon dupreanum,yes,female,NL,no,NA,NA,NA,350,124,NA,NA,NA,NA,NA,NA,59.6912584
246,ANGB32,Angavobe_Edup,-18.944,47.9491,CR,7,3/19/14,NA,NA,Eidolon dupreanum,yes,female,NL,no,NA,NA,NA,390,130,NA,NA,NA,NA,NA,NA,75.59118637
247,ANGB31,Angavobe_Edup,-18.944,47.9491,CR,7,3/19/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,330,120,NA,NA,NA,NA,NA,NA,36.03863513
248,ANGB33,Angavobe_Edup,-18.944,47.9491,CR,7,3/19/14,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,310,125,NA,NA,NA,NA,NA,NA,15.72904755
249,ANGB34,Angavobe_Edup,-18.944,47.9491,CR,7,3/19/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,350,125,NA,NA,NA,NA,NA,NA,41.5438805
250,ANGB35,Angavobe_Edup,-18.944,47.9491,CR,7,3/19/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,360,130,NA,NA,NA,NA,NA,NA,36.94491531
251,ANGB36,Angavobe_Edup,-18.944,47.9491,CR,7,3/19/14,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,320,125,NA,NA,NA,NA,NA,NA,25.72904755
252,ANGB37,Angavobe_Edup,-18.944,47.9491,CR,7,3/19/14,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,360,135,NA,NA,NA,NA,NA,NA,24.91347646
253,ANGB38,Angavobe_Edup,-18.944,47.9491,CR,7,3/20/14,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,300,120,NA,NA,NA,NA,NA,NA,25.32040488
254,ANGB39,Angavobe_Edup,-18.944,47.9491,CR,7,3/20/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,360,130,NA,NA,NA,NA,NA,NA,36.94491531
255,ANGB40,Angavobe_Edup,-18.944,47.9491,CR,7,3/20/14,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,320,130,NA,NA,NA,NA,NA,NA,5.591186365
256,ANGB41,Angavobe_Edup,-18.944,47.9491,CR,7,3/20/14,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,290,125,NA,NA,NA,NA,NA,NA,-4.270952448
,AND4,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,340,132.7,1,NA,0,1,NA,NA,9.01931566
,ATS1,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,303,135.4,6,NA,0,3,NA,NA,-33.76387015
,ATS2,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,270,131,0,NA,0,0,NA,NA,-55.9870882
270,AND1,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,350,132.4,4,NA,0,3,NA,NA,19.90137525
271,AND2,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,360,120.8,4,NA,0,2,NA,NA,63.72662061
272,AND3,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,340,130.6,1,NA,0,5,NA,NA,15.18619584
273,ATS3,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,250,125.5,1,NA,0,0,NA,NA,-59.91138292
275,ATS4,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,320,131.6,6,NA,0,0,NA,NA,-7.748216839
276,ATS5,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,335,131.4,3,NA,0,0,NA,NA,7.838986114
277,ATS6,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,305,129,6,NA,0,0,NA,NA,-15.12711675
278,AND5,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,325,129.4,0,NA,0,1,NA,NA,13.03636175
279,AND6,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,yes,male,A,no,NA,NA,NA,300,124.5,2,NA,0,0,NA,NA,-7.001897987
280,AND7,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,300,130.5,0,NA,0,2,NA,NA,-24.52058359
281,AND8,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Eidolon dupreanum,yes,male,A,no,NA,NA,NA,275,128.4,2,NA,0,1,NA,NA,-43.37228372
,ROU5,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,40,68.8,0,NA,0,0,NA,NA,-20.52286542
,ROU10,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,35,71,0,NA,0,0,NA,NA,-29.07197702
,ROU13,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,35,69.5,2,NA,0,0,NA,NA,-26.64230472
,ROU15,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,30,66.5,6,NA,0,0,NA,NA,-21.05722485
,ROU2,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,40,65,0,NA,0,0,NA,NA,-9.312307573
,ROU8,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,30,66.4,0,NA,0,0,NA,NA,-20.94024887
,ROU9,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,40,70.3,3,NA,0,0,NA,NA,-15.5700704
,ROU4,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,40,70.4,0,NA,0,0,NA,NA,-23.09506332
,ROU3,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,35,70,0,NA,0,0,NA,NA,-20.20903241
,ROU11,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,40,71.5,0,NA,0,0,NA,NA,-24.89120078
,ROU14,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,35,67.1,0,NA,0,0,NA,NA,-16.76101543
,ROU6,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,35,66.6,0,NA,0,0,NA,NA,-22.06455813
,ROU12,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,45,71.2,0,NA,0,0,NA,NA,-19.39910739
,ROU16,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,30,66.3,2,NA,0,0,NA,NA,-20.8233652
,ROU7,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,30,66.4,0,NA,0,0,NA,NA,-20.94024887
,ROU1,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/1/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,70,72.5,0,NA,0,0,NA,NA,3.456389491
283,AND10,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,300,132.5,4,NA,0,6,NA,NA,-30.39260489
284,AND11,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,270,129.1,2,NA,0,2,NA,NA,-50.41973122
285,AND12,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,350,129.1,1,NA,0,5,NA,NA,29.58026878
286,AND13,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,330,135.1,2,NA,0,5,NA,NA,-8.049962166
9.56E+14,AND9,Ankarana_Canyon_Edup,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Eidolon dupreanum,yes,male,A,no,NA,NA,NA,350,131.3,0,NA,0,5,NA,NA,23.1325276
,ROU26,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,40,67.9,4,NA,0,0,NA,NA,-12.70454384
,ROU28,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,40,66.9,4,NA,0,0,NA,NA,-11.52605049
,ROU29,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,65,70.2,7,NA,0,0,NA,NA,2.229080771
,ROU27,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,55,71.5,2,NA,0,0,NA,NA,-9.891200776
,ROU18,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,60,70.5,4,NA,0,0,NA,NA,4.188788339
,ROU17,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,60,74.9,1,NA,0,0,NA,NA,-1.206268008
,ROU19,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,70,77.9,7,NA,0,0,NA,NA,-5.786404368
,ROU20,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,50,65.9,6,NA,0,0,NA,NA,-0.356754888
,ROU25,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,40,67.1,1,NA,0,0,NA,NA,-11.76101543
,ROU22,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,45,69.1,7,NA,0,0,NA,NA,-9.130785887
,ROU24,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,50,70.7,2,NA,0,0,NA,NA,-6.052711763
,ROU30,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,male,A,no,NA,NA,NA,46,68.3,6,NA,0,0,NA,NA,-13.72889315
,ROU21,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,45,67.3,2,NA,0,0,NA,NA,-6.996347756
,ROU23,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, YL",9,8/2/14,NA,NA,Rousettus madagascariensis,NA,female,NL,no,NA,NA,NA,40,61.6,2,NA,0,0,NA,NA,-5.435205359
